"Arquivo";"TM";"Cliente";"Data";"Tipo";"ValorTotal";"Observacao"
"proposta-casa-do-bizote-exames-tm0105.html";"TM0105";"Casa do Bizote";"02/07/2026";"Exames Ocupacionais";"";"Valor unitário por função (sem total fixo)"
"proposta-kit-programas-pgr-pcmso-ltcat-lip-psicossocial-nino-auto-center.html";"";"Nino Auto Center LTDA";"06/07/2026";"Kit Programas";"1.000,00";"Valor único (9 colaboradores)"
"proposta-assessoria-sst-ckj-servicos-saude-tm0106.html";"TM0106";"CKJ Serviços de Saúde LTDA";"08/07/2026";"Assessoria SST";"1.689,00";"Mensalidade R$/mês + implantação R$ 2.500,00"
"proposta-kit-programas-locar-construcoes-consultoria-tm0107.html";"TM0107";"Locar Construções e Consultoria LTDA";"08/07/2026";"Kit Programas";"1.200,00";"Valor único (5 colaboradores)"
"proposta-kit-programas-mirantes-tm0109.html";"TM0109";"Mirantes Empreendimentos Imobiliários LTDA";"10/07/2026";"Kit Programas";"1.700,00";"Valor único"
"proposta-kit-programas-quartier-lagoa-nova-tm0110.html";"TM0110";"Condomínio Quartier Lagoa Nova";"10/07/2026";"Kit Programas";"1.500,00";"Valor único (2 colaboradores)"
"proposta-kit-programas-ml6-tm0108.html";"TM0108";"ML 6 Empreendimentos Imobiliários SPE LTDA";"14/07/2026";"Kit Programas";"2.600,00";"Valor único"
"proposta-posto-senador-tm0111.html";"TM0111";"Posto Senador (Revise Combustíveis LTDA)";"15/07/2026";"PAE + Treinamento";"4.250,00";"Valor único (PAE R$ 1.250 + Treinamento R$ 3.000)"
"proposta-sipat-pontanegra-automoveis-tm0112.html";"TM0112";"Ponta Negra Automóveis";"15/07/2026";"SIPAT";"2.400,00";"Valor único"
"proposta-ppp-ltcat-xavier-eugenio-drogaria-rc0002.html";"RC0002";"Xavier Eugênio Drogaria";"15/07/2026";"PPP + LTCAT";"1.400,00";"Valor único"
"proposta-laquif-tm0113.html";"TM0113";"Laquif";"16/07/2026";"Kit SST + LIP + Psicossocial";"1.840,00";"Valor único (14 colaboradores) — opção só psicossocial: R$ 1.000,00"
"proposta-aj-fitness-unidade-felipe-camarao-tm0114.html";"TM0114";"AJ Fitness (Unidade Felipe Camarão)";"16/07/2026";"Kit Programas + Psicossocial";"1.900,00";"Valor único"
"proposta-grupo-ml.html";"";"Grupo ML";"22/07/2026";"Saúde Ocupacional (Tabela)";"";"Tabela de preços unitários por exame"
"proposta-ponta-negra-tower-tm0115.html";"TM0115";"Condomínio Ponta Negra Tower";"22/07/2026";"Kit SST + Psicossocial";"600,00";"Valor único (1 colaborador — ASG)"
"proposta-tmilitao-tm0114.html";"TM0114";"T. Militão Transportes";"22/07/2026";"Kit SST + Psicossocial + NR-20 + NR-35";"1.800,00";"Opção B R$ 1.800 / Opção C R$ 2.500 + treinamentos R$ 120/pessoa"
"proposta-lumen-energia-automacao-esocial-tm0116.html";"TM0116";"Lumen Energia Automação";"24/07/2026";"eSocial / Assessoria";"170,00";"Valor mensal (R$/mês) — equivale a R$ 2.040,00/ano"
"proposta-treinamentos-colegio-marista-natal-tm0117.html";"TM0117";"Colégio Marista Natal";"27/07/2026";"Treinamentos NR";"6.500,00";"Opção 1 (100% presencial): R$ 8.200,00 / Opção 2 (híbrida): R$ 6.500,00"
"proposta-soc.html";"";"(Tabela SOC)";"28/07/2026";"Saúde Ocupacional (Tabela)";"";"Tabela de preços para repasse ao cliente final"
"proposta-brigada-incendio-ml5.html";"";"ML5";"29/07/2026";"Brigada de Incêndio";"1.500,00";"Valor único (até 10 colaboradores)"
"proposta-pgr-pcmso-psicossocial-neoenergia-cosern-tm0120.html";"TM0120";"Neoenergia COSERN";"30/07/2026";"PGR + PCMSO + Psicossocial";"9.792,00";"Valor principal R$ 9.792,00 + avaliações adicionais por colab."
"proposta-assessoria-sst-tecnal-tm0119.html";"TM0119";"TECNAL — Tecnologia Ambiental em Aterros Sanitários (Natal)";"30/07/2026";"Assessoria SST";"3.467,50";"Valor mensal (R$/mês)"
"proposta-assessoria-sst-tecnal-assu-tm0121.html";"TM0121";"TECNAL — Tecnologia Ambiental em Aterros Sanitários (Açu)";"30/07/2026";"Assessoria SST";"4.911,25";"Valor mensal (R$/mês)"
